expenditure_date,expenditure_year,payee_first_name,payee_last_name,organization_name,amount,committee_name,office_sought,district,ballot_issue...9,purpose,purpose_cleaned,street_address_1,street_address_2,payee_city,payee_state,zip_code,fef_expenditure,electioneering_communication,independent_expenditure,candidate_name,ballot_issue...21,position
2/26/2023,2023,NA,NA,Drop Cowboy,102.66,Clarke For Denver,Auditor,NA,NA,number pool setup,Supplies,30 N Gould St Ste 2890,NA,Sheridan,WY,'82801',Yes,No,No,Erik Clarke,NA,NA
1/31/2023,2023,NA,NA,Campaign Expenditure,275,Candi for Council,Auditor,9,NA,expends,Unitemized Expenditure,123 Main St,NA,Denver,CO,'80205',No,No,No,Candi CdeBaca,NA,NA
1/31/2023,2023,NA,NA,Campaign Expenditure,55,Candi for Council,City Council,9,NA,expends,Unitemized Expenditure,123 Main St,NA,Denver,CO,'80205',No,No,No,Candi CdeBaca,NA,NA
1/30/2023,2023,Sam,Lopez Jr.,Campaign Expenditure,275,Candi for Council,City Council,9,NA,expends,Unitemized Expenditure,123 Main St,NA,Denver,CO,'80205',No,No,No,Candi CdeBaca,NA,NA
1/30/2023,2023,NA,NA,Next Insurance,227.9,Mike Johnston for Mayor,Mayor,NA,NA,Insurance,Insurance,975 California Ave,NA,Palo Alto,CA,'94304',No,No,No,Mike Johnston,NA,NA
1/30/2023,2023,NA,NA,Jack v. Downing Agency,350.94,Chris Hansen for Denver Mayor,Mayor,NA,NA,Office Insurance,Insurance,1600 Stout St,#270,Denver,CO,'80202',No,No,No,Chris Hansen,NA,NA
1/30/2023,2023,NA,NA,Office Depot,202.39,Travis Leiker for Denver,City Council At-Large,NA,NA,Letters,Supplies,7306 E 36th Ave,NA,Denver,CO,'80238',No,No,No,Travis Leiker,NA,NA
1/26/2023,2023,NA,NA,Amazon,26.34,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,glow in the dark tape,Supplies,410 Terry Avenue North,NA,Seattle,WA,'98109',No,No,No,Terrance Roberts,NA,NA
1/24/2023,2023,NA,NA,City Park Tavern,249.6,Aurelio Martinez for Denver Mayor,Mayor,NA,NA,Endorsement Announcement,Event,3181 E 23rd Ave,NA,Denver,CO,'80205',No,No,No,Aurelio Martinez,NA,NA
1/24/2023,2023,NA,NA,EMS Communications,1400,trinidad4denver,Mayor,NA,NA,Assistance with presentation of campaign messaging,Event,627 Landwehr Road,NA,Northbrook,IL,'60062',No,No,No,Trinidad Rodriguez,NA,NA
1/23/2023,2023,Brooke,Brown,Carson Foundation,40,trinidad4denver,Mayor,NA,NA,Purchase list of Denver voters,Research,450 E 9th Ave,NA,Denver,CO,'80203',No,No,No,Trinidad Rodriguez,NA,NA
1/23/2023,2023,NA,NA,"Jay Movement Coaching, LLC",519.6,Candi for Council,City Council,9,NA,field,Staffing,"2890 S Colorado Blvd, Unit 12-L",NA,Denver,CO,''80222'',No,No,No,Candi CdeBaca,NA,NA
1/20/2023,2023,NA,NA,Intuit Quickboks,15.72,Chris Herr for Southwest Denver,City Council,2,NA,Bookkeeping,Staffing,2800 E Commerce Center Place,NA,Tucson,AZ,'85706',Yes,No,No,Chris Herr,NA,NA
1/19/2023,2023,Sam,Lopez Jr.,Campaign Expenditure,1800,Candi for Council,City Council,9,NA,field,Staffing,123 Main St,NA,Denver,CO,'80205',No,No,No,Candi CdeBaca,NA,NA
1/18/2023,2023,NA,NA,Grid Collaborative Workspace,228.39,Estroff for Denver District 7,City Council,7,NA,Workspace,Supplies,"445 Broadway,",NA,Denver,CO,'80203',No,No,No,Adam Estroff,NA,NA
1/17/2023,2023,NA,NA,Grid Collaborative Workspace,228.39,Estroff for Denver District 7,City Council,7,NA,Workspace,Supplies,"445 Broadway,",NA,Denver,CO,'80203',No,No,No,Adam Estroff,NA,NA
1/10/2023,2023,NA,NA,"Jay Movement Coaching, LLC",570,Candi for Council,City Council,9,NA,field,Staffing,"2890 S Colorado Blvd, Unit 12-L",NA,Denver,CO,''80222'',No,No,No,Candi CdeBaca,NA,NA
1/9/2023,2023,NA,NA,Next Insurance,211.88,Mike Johnston for Mayor,Mayor,NA,NA,Business Insurance,Insurance,975 California Ave,NA,Palo Alto,CA,'94304',No,No,No,Mike Johnston,NA,NA
1/8/2023,2023,NA,NA,Town Hall Collaborative,652.86,Tiffany Caudill for City Council,City Council,2,NA,Campaign kick off,Event,525 Santa Fe Dr,NA,Denver,CO,'80204',No,No,No,Tiffany Caudill,NA,NA
1/6/2023,2023,NA,NA,Five Star Campaigns LLC,2340,Clarke For Denver,Auditor,NA,NA,field support,Staffing,4055 Albion St.,#413,Denver,CO,'80216',Yes,No,No,Erik Clarke,NA,NA
1/5/2023,2023,Constant Contact,NA,Constant Contact,125,Leslie for Mayor,Mayor,NA,NA,Office Technology,Supplies,1601 Trapelo Road,NA,Waltham,MA,'02451',No,No,No,Leslie Herod,NA,NA
1/4/2023,2023,NA,NA,Denver Elections,40,May in Denver,City Council,7,NA,Voter Rolls,Research,200 W. 14th Ave.,NA,Denver,CO,'80204',No,No,No,Arthur May,NA,NA
1/3/2023,2023,NA,NA,CoCreative Marketing,3250,Valdez for Mayor,Mayor,NA,NA,Campaign Coaching Messaging and Brand Devlopment,Staffing,1555 Adams St,NA,Denver,CO,'80206',No,No,No,Alex Valdez,NA,NA
12/22/2022,2022,Roger,Perez,NA,100,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,couch,Supplies,1309 N Grant  St,APT 324,Denver,CO,'80218',No,No,No,Terrance Roberts,NA,NA
12/22/2022,2022,NA,NA,USPS,69,Leslie for Mayor,Mayor,NA,NA,PO Box,Supplies,255 S Broadway,NA,Denver,CO,'80209',No,No,No,Leslie Herod,NA,NA
12/22/2022,2022,NA,NA,Staples,8.85,Valdez for Mayor,Mayor,NA,NA,Copy Paper,Supplies,870 South Colorado Blvd.,NA,Glendale,CO,'80246',No,No,No,Alex Valdez,NA,NA
12/21/2022,2022,NA,NA,Intuit Quickbooks,15.72,Chris Herr for Southwest Denver,City Council,2,NA,Bookkeeping,Staffing,2632 Marine Way,NA,Mountain View,CA,'94043',Yes,No,No,Chris Herr,NA,NA
12/21/2022,2022,NA,NA,Goodwill Archer,21.75,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,office furniture,Supplies,21 S Broadway,NA,Denver,CO,'80209',No,No,No,Terrance Roberts,NA,NA
12/21/2022,2022,NA,NA,POS Name Badges,95.11,Chris Hansen for Denver Mayor,Mayor,NA,NA,Name tags,Supplies,2211 North First Street,NA,San Jose,CA,'95131',No,No,No,Chris Hansen,NA,NA
12/21/2022,2022,NA,NA,CANVA,12.99,Drum for Denver City Council District 8,City Council,8,NA,Editing tool,Marketing and advertising,75 East Santa Clara Street,NA,San Jose,CA,'95113',No,No,No,Tyler Drum,NA,NA
12/20/2022,2022,NA,NA,Home Again Furniture,97,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,office furniture,Supplies,1900 W Mississippi Ave,NA,Denver,CO,'80223',No,No,No,Terrance Roberts,NA,NA
12/19/2022,2022,NA,NA,Five Star Campaigns LLC,1660,Clarke For Denver,Auditor,NA,NA,Field support,Staffing,4055 Albion St.,#413,Denver,CO,'80216',Yes,No,No,Erik Clarke,NA,NA
12/19/2022,2022,NA,NA,Home Again Furniture,215,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,office furniture,Supplies,1900 W Mississippi Ave,NA,Denver,CO,'80223',No,No,No,Terrance Roberts,NA,NA
